target_variant_id,target_concept_id,species_name,uniprot_id,gene_name_species
TVAR_0110,TGT_0095,Homo sapiens,,SOD1
TVAR_0111,TGT_0096,Homo sapiens,,NPC1
TVAR_0112,TGT_0097,Homo sapiens,P13598,ICAM-2
TVAR_0113,TGT_0098,Homo sapiens,,KRAS
TVAR_0114,TGT_0049,,P00533,EGFR
TVAR_0115,TGT_0099,,P05067,APP
TVAR_0116,TGT_0100,,P30872,SSTR1
TVAR_0117,TGT_0101,,,Yeast small ubiquitin-related modifier (ySUMO)
TVAR_0118,TGT_0102,,D6WJ77,ICMT
TVAR_0119,TGT_0103,,P11362,FGFR1
TVAR_0120,TGT_0104,,Q86Z14,KLB
TVAR_0121,TGT_0105,,P02458,COL2A1
TVAR_0122,TGT_0106,,,Human dermal microvascular endothelial cell (HMVEC)
TVAR_0123,TGT_0107,,P30988,Calcitonin receptor
TVAR_0124,TGT_0108,,Q05320,GP
TVAR_0125,TGT_0109,,P21440,ABCB4
TVAR_0126,TGT_0110,,P07288,KLK3
TVAR_0127,TGT_0111,,P0DTC2,S
TVAR_0128,TGT_0112,,Q38CP2,
TVAR_0129,TGT_0113,,Q9Y5Y6,ST14
TVAR_0130,TGT_0114,,P02879,
TVAR_0131,TGT_0115,,P01552,ENTB
TVAR_0132,TGT_0116,,A0A1B6QPI8,
TVAR_0133,TGT_0117,,P04275,VWF
TVAR_0134,TGT_0118,,P04578,ENV
TVAR_0135,TGT_0119,,Q8WX98,CASPR4
TVAR_0136,TGT_0120,,Q8NB16,MLKL
TVAR_0137,TGT_0121,,P00519,ABL1
TVAR_0138,TGT_0122,,P40238,MPL
TVAR_0139,TGT_0123,,Q00987,MDM2
TVAR_0140,TGT_0124,,P56546,CTBP2
TVAR_0141,TGT_0125,,P0AEX9,MALE
TVAR_0142,TGT_0126,,P0A940,BAMA
TVAR_0143,TGT_0127,,A0A6M5KCF0,S
TVAR_0144,TGT_0128,,P0AEX9,SUMO4
TVAR_0145,TGT_0129,,Q6EEV6,SUMO4
TVAR_0146,TGT_0130,,P63165,SUMO1
TVAR_0147,TGT_0131,,O14965,AURKA
TVAR_0148,TGT_0132,,P01116,KRAS
TVAR_0149,TGT_0133,,P11274,BCR
TVAR_0150,TGT_0134,,P61964,WDR5
TVAR_0151,TGT_0135,,A9CQL4,CRSAS-6
TVAR_0152,TGT_0136,,O14786,NRP1
TVAR_0153,TGT_0137,,Q62386,IL17A
TVAR_0154,TGT_0138,,Q6TDG3,TNF
TVAR_0155,TGT_0139,,P01106,MYC
TVAR_0156,TGT_0140,,P61073,CXCR4
TVAR_0157,TGT_0141,,,Pb peptide
TVAR_0158,TGT_0142,,,Pa peptide
TVAR_0159,TGT_0143,,P00734,PROTHROMBIN
TVAR_0160,TGT_0144,,P42212,GFP
TVAR_0161,TGT_0145,,P35968,KDR
TVAR_0162,TGT_0146,,A0A4D6FVK6,MCHERRY
TVAR_0163,TGT_0147,,O75469,NR1I2
TVAR_0164,TGT_0148,,O15392,BIRC5
TVAR_0165,TGT_0149,,Q07108,Cluster of differentiation 69 (CD69)
TVAR_0166,TGT_0150,,Q9NPF7,IL23A
TVAR_0167,TGT_0151,,P37028,BTUF
TVAR_0168,TGT_0152,,,Staphylococcus aureus leukocidin
TVAR_0169,TGT_0153,,P02920,LACY
TVAR_0170,TGT_0154,,P21359,NF1
TVAR_0171,TGT_0155,,Q16665,HIF1A
TVAR_0172,TGT_0156,,P05068,CRY1AC
TVAR_0173,TGT_0157,,P0C7B7,
TVAR_0174,TGT_0158,,Q20BH0,CFTR
TVAR_0175,TGT_0159,,Q62634,SLC17A7
TVAR_0176,TGT_0160,,P06396,GSN
TVAR_0177,TGT_0161,,P77304,DTPA
TVAR_0178,TGT_0162,,P30556,AGTR1
TVAR_0179,TGT_0163,,P07550,ADRB2
TVAR_0180,TGT_0073,,P02768,ALB
TVAR_0181,TGT_0164,,A0A6H6MLI6,PGLK
TVAR_0182,TGT_0165,,P32970,CD70
TVAR_0183,TGT_0166,,P15692,VEGFA
TVAR_0184,TGT_0167,,A0A140AYZ5,S
TVAR_0185,TGT_0168,,P51654,GPC3
TVAR_0186,TGT_0169,,A8CLT2,
TVAR_0187,TGT_0170,,Q99808,SLC29A1
TVAR_0188,TGT_0171,,Q5ZKX9,KDELR2
TVAR_0189,TGT_0172,,P48067,SLC6A9
TVAR_0190,TGT_0173,,P01484,
TVAR_0191,TGT_0174,,P35222,CTNNB1
TVAR_0192,TGT_0175,,A0A059X2Z2,
TVAR_0193,TGT_0176,,P03372,ESR1
TVAR_0194,TGT_0177,,Q9Y653,ADGRG1
TVAR_0195,TGT_0178,,P16066,Atrial natriuretic peptide receptor 1
TVAR_0196,TGT_0179,,P31391;P32745;P30874;P30872;P35346,Somatostatin receptor type 3;Somatostatin receptor type 2;Somatostatin receptor type 1;Somatostatin receptor type 5;Somatostatin receptor type 4
TVAR_0197,TGT_0180,,A0A7X9WCG7,
TVAR_0198,TGT_0181,,P0DKX7,CYA
TVAR_0199,TGT_0182,,Q8K209,ADGRG1
TVAR_0200,TGT_0183,,P12931,SRC
TVAR_0201,TGT_0184,,P07948,LYN
TVAR_0202,TGT_0185,,Q14145,KEAP1
TVAR_0203,TGT_0186,,Q16539,MAPK14
TVAR_0204,TGT_0187,,P29317,EPHA2
TVAR_0205,TGT_0188,,,SrcB subgroup Hck-Src-homology 2 (Hck SH2)
TVAR_0206,TGT_0189,,Q9GZV8,PRDM14
TVAR_0207,TGT_0190,,P40763,STAT3
TVAR_0208,TGT_0191,,,SrcA subgroup Src-Src-homology 2 (Src SH2)
TVAR_0209,TGT_0192,,,SrcA subgroup Yes-Src-homology 2 (Yes SH2)
TVAR_0210,TGT_0193,,,SrcA subgroup Fgr-Src-homology 2 (Fgr SH2)
TVAR_0211,TGT_0194,,,SrcB subgroup Lyn-Src-homology 2 (Lyn SH2)
TVAR_0212,TGT_0195,,,SrcB subgroup Lck-Src-homology 2 (Lck SH2)
TVAR_0213,TGT_0196,,P15085,Carboxypeptidase A1
