release_path	source_layer	headers_preview
tables/protein_flexibility_summary.csv	release_table	protein_row_id|structure_unique_sequence_id|flexibility_loop_count_total|flexibility_loop_count_primary|flexibility_loop_count_with_dssp|flexibility_loop_count_with_getcontact|flexibility_loop_count_with_itsflex|flexibility_loop_count_with_colabfold|flexibility_avg_rsa_mean|flexibility_avg_rsa_median|flexibility_constraint_score_mean|flexibility_constraint_score_median|flexibility_itsflex_score_mean|flexibility_itsflex_score_median|flexibility_dynamic_score_mean|flexibility_dynamic_score_median|flexibility_consensus_rigid_count|flexibility_consensus_intermediate_count|flexibility_consensus_flexible_count|flexibility_conflict_loop_count|flexibility_summary_version|flexibility_summary_timestamp
tables/protein_identifiers.csv	release_table	identifier_id|protein_id|id_type|id_value|status
tables/proteins.csv	release_table	protein_id|structure_unique_sequence_id|canonical_name|organism|source_sequence|description|scaffold_category|final_tested_sequence|sequence_length
tables/protparam_results.csv	release_table	protein_row_id|structure_unique_sequence_id|ProtParam_MW_Da|ProtParam_pI|ProtParam_GRAVY|ProtParam_Instability_Index|ProtParam_Aromaticity|ProtParam_Ext_Coeff_Reduced|ProtParam_Ext_Coeff_Oxidized
tables/protrek_results.csv	release_table	protein_row_id|structure_unique_sequence_id|protrek_confidence|protrek_confidence_reason|protrek_official_seq2seq_band|protrek_official_seq2seq_score|protrek_official_function_band|protrek_official_function_score|protrek_structure_support|protrek_structure_support_detail|protrek_seq_top1_hit|protrek_seq_function_top1|protrek_str_top1_hit|protrek_str_top1_score|protrek_str_function_top1|protrek_str_function_score
tables/result_metadata.csv	release_table	key|value
tables/solubility_results.csv	release_table	protein_row_id|structure_unique_sequence_id|QCBundleServerOfficial_protein_name|QCBundleServerOfficial_fasta_header|QCBundleServerOfficial_scaffold_category|QCBundleServerOfficial_protein_label|QCBundleServerOfficial_sequence_length|QCBundleServerOfficial_pdb_file|QCBundleServerOfficial_pdb_path|QCBundleServerOfficial_assessment_branch|QCBundleServerOfficial_gravy_score|QCBundleServerOfficial_instability_index|QCBundleServerOfficial_soluprot_score|QCBundleServerOfficial_camsol_score|QCBundleServerOfficial_deepsol_score|QCBundleServerOfficial_a3d_avg_score|QCBundleServerOfficial_a3d_max_score|QCBundleServerOfficial_final_assessment|QCBundleServerOfficial_protparam_interpretation|QCBundleServerOfficial_soluprot_call|QCBundleServerOfficial_soluprot_interpretation|QCBundleServerOfficial_deepsol_call|QCBundleServerOfficial_deepsol_interpretation|QCBundleServerOfficial_camsol_call|QCBundleServerOfficial_camsol_interpretation
tables/sources.csv	release_table	source_id|identifier|title|authors|journal_or_office|publication_date|source_file_name|source_type
tables/structural_source_info.csv	release_table	structure_id|domain_id|structure_unique_sequence_id|pdb_id|method|resolution|source_structure_identifier|source_structure_type|source_structure_note
tables/structure_refinement_audit.csv	release_table	protein_row_id|structure_unique_sequence_id|pre_refine_Final_Tested_Sequence|pre_refine_Sequence_Length|pre_refine_Sequence_PDB_ID|pre_refine_local_pdb_exact_structure_paths|pre_refine_local_pdb_fasta_paths|pre_refine_structure_locator|pre_refine_pdb_path|pre_refine_chain_id|pre_refine_chain_count|pre_refine_resnum_start|pre_refine_resnum_end|structure_refinement_applied|structure_refinement_status|structure_refinement_notes
