n_obs,dataset_coef,dataset_se,dataset_or,ci_lower,ci_upper,p_value,intercept,loop_length_coef,loop_length_sq_coef,model_converged,comparison
23974,2.364764009073066,0.048276092169931686,10.64152721729223,9.680783793563387,11.69761704539506,0.0,-1.230237907334172,0.8399748177992511,-0.1569328294824019,1.0,TBP_all_binary_vs_AIR_all
21920,2.397838095118072,0.09012292176665265,10.999371063497454,9.218360192617363,13.124477809990369,0.0,-1.2643177216279808,0.8854772754414665,-0.15243614271620168,1.0,TBP_primary_vs_AIR_all
23684,2.387126844631957,0.04802752347391481,10.882182781790458,9.90453663980924,11.956329347132133,0.0,-1.260270845641485,0.8141975350203001,-0.14945608568875723,1.0,TBP_all_binary_vs_AIR_PDB
21630,2.4245470115096817,0.08993706019727614,11.297110798863306,9.471339780862769,13.474832004197006,0.0,-1.294602578088228,0.8590879118171811,-0.14481335278975138,1.0,TBP_primary_vs_AIR_PDB
